title,author,length
Dirty Laundry,"Richard Pink,Roxanne Emery", 4 hrs and 2 mins
The Tangled Treasure Trail,Benedict Brown, 8 hrs and 3 mins
Skull Road,Keith C. Blackmore, 14 hrs and 38 mins
When He's Torn,Suzanne Wright, 13 hrs
"Epic Content Marketing, Second Edition","Joe Pulizzi,Brian W. Piper", 9 hrs and 45 mins
Split Scope,Mike Ryan, 5 hrs and 16 mins
The Night She Vanished,Wendy Dranfield, 13 hrs and 10 mins
"Mud, Blood, and Magic",A. D. Krabis, 14 hrs and 17 mins
The Fallen King's Penitent Soldier,Megan Derr, 13 hrs and 52 mins
Nantucket Homes,Pamela M. Kelley, 5 hrs and 53 mins
How to Make Money in Stocks (Fourth Edition),William J. O'Neil, 11 hrs and 50 mins
"Secrets of the Fae, Books 7-9","M. Lynn,Melissa Craven", 21 hrs and 41 mins
In the Family Way,Sheri Cobb South, 8 hrs and 57 mins
Good Deeds,Kathryn Moon, 7 hrs
From Hoping to Having,Julie Poole, 8 hrs and 47 mins
Playing Pretend,Eden Summers, 6 hrs and 56 mins
Waiting on Wendy,Tanzania Glover, 5 hrs and 24 mins
Saffron Wilds,Kai Butler, 12 hrs and 48 mins
Ski Patrol,Lucy Lennox, 1 hr and 20 mins
Revenge is Sweet,Felice Stevens, 7 hrs and 6 mins
The White Pill,Michael Malice, 9 hrs and 11 mins
